ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN219,#1,VII,VII,Roman Numerals Scribe
CRN220,#2,Regyn ,Regyn ,Lancastrian Scribe
CRN220,#1,XI,XI,Roman Numerals Scribe
CRN221,#2,Morganus,Morgan,Lancastrian Scribe
CRN221,#1,XXI,XXI,Roman Numerals Scribe
CRN222,#2,Eynaun,Ennianus,Lancastrian Scribe
CRN222,#1,VI,VI,Roman Numerals Scribe
CRN223,#2,Idwal,Idwa,Lancastrian Scribe
CRN223,#1,VII,VII,Roman Numerals Scribe
CRN224,#2,Rim ,Rhun ,Lancastrian Scribe
CRN224,#1,IX,IX,Roman Numerals Scribe
CRN225,#2,Geroncius ,Geraint ,Lancastrian Scribe
CRN225,#1,III,III,Roman Numerals Scribe
CRN226,#2,Catel,Kadel,Lancastrian Scribe
CRN226,#1,VIII,VIII,Roman Numerals Scribe
CRN227,#2,Choyl,Coe,Lancastrian Scribe
CRN227,#1,XI,XI,Roman Numerals Scribe
CRN228,#2,Porre,Porre,Lancastrian Scribe
CRN228,#1,II,II,Roman Numerals Scribe
CRN229,#2,Cheryn ,Cherin ,Lancastrian Scribe
CRN229,#1,XXI,XXI,Roman Numerals Scribe
CRN230,#2,Fulgentius,Fulgenius,Lancastrian Scribe
CRN231,#2,Androgius,Andragius,Lancastrian Scribe
CRN232,#2,Eldadus,Edadus,Lancastrian Scribe
CRN232,#1,VI,VI,Roman Numerals Scribe
CRN233,#2,Vrianus,Urianus,Lancastrian Scribe
CRN233,#1,L,L,Roman Numerals Scribe
CRN234,#2,Eliud ,Eliud ,Lancastrian Scribe
CRN234,#1,XL,XL,Roman Numerals Scribe
CRN235,#2,Cledancus ,Cledauc ,Lancastrian Scribe
CRN235,#1,XII,XII,Roman Numerals Scribe
CRN236,#2,Clotenus,Cloten,Lancastrian Scribe
CRN236,#1,X,X,Roman Numerals Scribe
CRN237,#2,Gurguntius ,Gurguint ,Lancastrian Scribe
CRN237,#1,VII,VII,Roman Numerals Scribe
CRN238,#2,Merianus ,Merianus ,Lancastrian Scribe
CRN238,#1,V,V,Roman Numerals Scribe
CRN239,#1-2,Blethinus ,Bledud ,Lancastrian Scribe
CRN240,#2,Caap ,Cap ,Lancastrian Scribe
CRN240,#1,XI,XI,Roman Numerals Scribe
CRN241,#2,Cenus ,Oenus ,Lancastrian Scribe
CRN241,#1,XIX,XIX,Roman Numerals Scribe
CRN242,#2,Sisillius ,Sisillius ,Lancastrian Scribe
CRN242,#1,XIII,XIII,Roman Numerals Scribe
CRN243,#1,Archinayl,Arthmai,Lancastrian Scribe
CRN244,#2,Bledgabred ,Bledgabred ,Lancastrian Scribe
